Establishment,Host,Neighbourhood,Latitude,Longitude,Room Type,Price,Duration,Total Reviews
"Modern family home, South London",Jo,Lewisham,51.44877,-0.05103,Entire home/apt,140,5,15
Amazing house Hammersmith Fulham !,Pascale,Hammersmith and Fulham,51.4807,-0.21967,Entire home/apt,350,7,0
Beautiful apartment in Greenwich,Robert,Greenwich,51.47752,0.01006,Entire home/apt,52,90,38
**Relaxing Experience - Central Location**,Katherin,Westminster,51.48824,-0.13584,Private room,85,1,162
Period Townhouse with own garden,Judith,Islington,51.5298,-0.11006,Private room,66,3,62
**Great Experience - Central Location**,Katherin,Westminster,51.4898,-0.13793,Private room,79,1,292
Garden flat in North London,Fiona,Haringey,51.57677,-0.08265,Entire home/apt,70,1,0
Bright double bedroom in stylish Dalston flat!,Melanie,Hackney,51.55273,-0.07414,Private room,50,2,5
"Small, Connected Zone 2 Studio in London",Ronda,Lambeth,51.47661,-0.12197,Entire home/apt,50,1,42
london  brisge room,Moez,Southwark,51.49881,-0.08328,Private room,26,1,1
Large studio in Bermondsey sleeps 4,Fernanda,Southwark,51.49787,-0.07512,Entire home/apt,120,2,67
"Amazing 3bed, 2bath w/garden 3min to Parsons Grn",Servane,Hammersmith and Fulham,51.47272,-0.19998,Entire home/apt,300,6,6
"Large ensuite room, nice environ",Tope,Barking and Dagenham,51.55268,0.15135,Private room,45,1,1
"Bright, Top-Floor Retreat Close to Shoreditch",Bryn,Hackney,51.53911,-0.07789,Entire home/apt,116,2,9
Large 1 bed Flat with Courtyard,Samuel,Camden,51.54762,-0.13907,Entire home/apt,100,3,25
"Light, airy book-lovers' retreat",Nell,Southwark,51.4782,-0.08253,Entire home/apt,60,2,14
Beautiful River Apartment w Balcony,Charlie,Tower Hamlets,51.49274,-0.02493,Private room,55,1,1
Victorian family house close to central london,Nuala,Islington,51.55286,-0.1109,Entire home/apt,250,1,5
Huge Victorian room central Brixton,Lola,Lambeth,51.46167,-0.10574,Private room,49,2,12
Stylish Apartment in central London,Rodrigo,Southwark,51.49299,-0.10046,Entire home/apt,120,5,20
Beautiful Sharehouse In Shoreditch,Franz,Tower Hamlets,51.52003,-0.0684,Private room,40,10,0
Shoreditch Private Room + Bathroom,Marlous,Hackney,51.52726,-0.08284,Private room,63,2,1
"Lrge private room, own bathroom  close to station",Giuliana,Hammersmith and Fulham,51.47194,-0.20317,Private room,70,2,101
double room in a sunny appartment,Ivona,Haringey,51.59787,-0.11227,Private room,36,2,3
Cosy one bedroom apartment in Kensington Olympia,Tim,Kensington and Chelsea,51.49933,-0.20896,Entire home/apt,180,6,2
1 Cosy Double Bedroom  in Croydon,Ebenezer,Croydon,51.39164,-0.09371,Private room,22,7,17
Cosy Home - 1 bedroom flat,Sara,Hounslow,51.49758,-0.24538,Entire home/apt,75,5,39
Large double room in lovely house,Marc,Newham,51.52718,0.02994,Private room,200,5,0
The Red room (memory foam mattress),Natasha,Croydon,51.39239,-0.05345,Private room,38,1,2
Convenient Contemporary 2-Bed Apartment,Trung,Southwark,51.49183,-0.06538,Entire home/apt,105,20,54
Cute  Marble Arch Hyde Park Studio,Jessie,Westminster,51.51563,-0.16508,Entire home/apt,120,1,19
Cosy Christmas In Our Lovely Home.,Anne,Hackney,51.56587,-0.09245,Entire home/apt,75,5,2
Garden flat near Finsbury Park,John,Islington,51.56065,-0.1127,Entire home/apt,72,7,52
Cosy Double bedroom in modern flat,Parul,Greenwich,51.49496,0.0135,Private room,90,1,37
Cosy Small(ish) Greenwich London,Nena & Jorge,Greenwich,51.47812,0.04097,Private room,30,1,25
Cosy single room,Daniella,Bromley,51.39208,-0.0408,Private room,50,1,0
Victorian Warehouse apartment,Lucy,Hackney,51.54727,-0.05847,Entire home/apt,150,2,12
A VERY SAFE AREA FOR FEMALES/GUESTS SHOWER ROOM,Denise And Trevor,Barnet,51.56258,-0.19707,Private room,31,4,126
Modern and stylish flat,Fabio,Lewisham,51.47325,-0.05109,Entire home/apt,76,2,10
Beautiful home full of natural light in Wimbledon,Vishna,Merton,51.41772,-0.19361,Entire home/apt,500,5,0
"Private doble room, great location",Telma,Hackney,51.55194,-0.05581,Private room,214,1,2
desirable location in Richmond,Edith,Richmond upon Thames,51.46539,-0.29613,Entire home/apt,76,5,0
"Quiet, clean comfy double £37 no extra charges!",Kathy,Westminster,51.52754,-0.20401,Private room,38,1,52
Secret Mews House-3 bedroom in a busy London town,Rupa,Haringey,51.58065,-0.12709,Entire home/apt,300,3,4
Comfortable Victorian London family home,Vanessa,Ealing,51.50085,-0.26536,Entire home/apt,225,5,1
Double bed in North London,Jamie,Haringey,51.57605,-0.10284,Entire home/apt,75,1,0
Cozy attic in the heart of Brixton,Delia,Lambeth,51.46208,-0.11289,Private room,25,2,15
Spacious double room with own bath,Surabhi,Southwark,51.50206,-0.04124,Private room,40,2,71
Cozy room in an artistic house,Surabhi,Southwark,51.50309,-0.04254,Private room,38,1,37
Modern one bed flat in Kensington,Dinesh,Kensington and Chelsea,51.5017,-0.19017,Entire home/apt,167,4,41
Stunning House for Rugby World Cup,Tina,Richmond upon Thames,51.45323,-0.33937,Entire home/apt,600,7,0
Beautiful Room in Brixton,Lobna,Lambeth,51.46363,-0.10042,Private room,44,1,22
Beautiful flat in a great location,Sadie,Tower Hamlets,51.52343,-0.05836,Entire home/apt,98,2,68
2-bed central flat close to City,Rebecca,Tower Hamlets,51.52368,-0.02931,Entire home/apt,60,3,2
"2bd family flat by a park, perfect for a family",Sylwia,Hackney,51.54256,-0.05792,Entire home/apt,95,3,4
self-contained studio flat,Terry,Haringey,51.57711,-0.11825,Entire home/apt,65,3,15
Beautiful London House,Babs,Waltham Forest,51.57904,-0.01162,Entire home/apt,250,7,1
Quadruple room en suite,Mornington Hotel,Westminster,51.48962,-0.14128,Private room,150,1,1
Sunny 1 bedroom flat on the canal!,Francesco,Hackney,51.53596,-0.07114,Entire home/apt,60,2,6
2 bed flat - SW London with parking,Hannah,Richmond upon Thames,51.41334,-0.3136,Entire home/apt,110,4,102
2 bed flat in zone 2 East Dulwich,Fiona,Southwark,51.4517,-0.05562,Entire home/apt,120,1,2
"London Peckham -Females only, Bright & clean room",Roberta,Southwark,51.47357,-0.0652,Private room,28,2,88
Beautiful Edwardian Wanstead Home,Helen,Redbridge,51.56252,0.03975,Entire home/apt,171,3,14
Modern penthouse with balcony and London views,Charlie,Hounslow,51.49247,-0.29969,Entire home/apt,90,5,57
Stylish 1BD Flat with Best View in Clapham,Tony & Fatma,Lambeth,51.46311,-0.14065,Entire home/apt,250,1,33
Tranquil double room in Camden,Nicole,Camden,51.54977,-0.14777,Private room,60,7,57
"Stylish 3 bed, Close to C London",Amanda,Lewisham,51.42526,-0.04063,Entire home/apt,120,7,1
Bright ans spacious double room in New Cross,Maria,Lewisham,51.47819,-0.04923,Private room,28,1,45
Spare room for Wimbledon tennis,Dan,Wandsworth,51.43704,-0.18305,Private room,171,2,3
Luxury 1 Bedroom Apartment,Matthew,Hounslow,51.49036,-0.3006,Entire home/apt,95,6,49
Standard En-Suite Studio Room,Allan,Richmond upon Thames,51.42927,-0.34088,Entire home/apt,95,1,36
1 Bed Flat & communal roof terrace,Christian,Southwark,51.49752,-0.06849,Entire home/apt,85,3,11
Double Room in Homerton/Chats Rd,Chris,Hackney,51.55047,-0.04474,Private room,35,2,3
A wonderful double bedroom!,Lucy,Hammersmith and Fulham,51.50052,-0.24217,Private room,35,2,97
Stylish 1bd flat highbury/islington,Samantha,Islington,51.55593,-0.10222,Entire home/apt,98,4,23
Lovely Double Room with En-suite,Nicki,Kensington and Chelsea,51.51961,-0.22254,Private room,62,1,39
Elegant apartment in Kensington Olympia,Elizabeth & Hugo,Hammersmith and Fulham,51.49997,-0.22105,Entire home/apt,165,4,72
The Glamour Cave,Emma,Tower Hamlets,51.52906,-0.03347,Private room,49,1,221
Self contained studio near Camden,Victoria,Camden,51.54805,-0.15313,Private room,80,2,206
Lovely room in Hampstead,Jane,Camden,51.55746,-0.16238,Private room,65,2,192
New/ modern one bedroom flat.,Gosia,Lewisham,51.48953,-0.04387,Entire home/apt,80,30,0
Spacious Central London Apartment,Julia,Southwark,51.48977,-0.10134,Entire home/apt,150,3,15
Charming Flat on Portobello Road,Harry,Kensington and Chelsea,51.5205,-0.20989,Entire home/apt,182,2,1
A Perfect Location for Your Trip,Scott,Westminster,51.51273,-0.1784,Private room,50,4,12
2 bedroom family friendly detached house,Tony,Barnet,51.59103,-0.21243,Entire home/apt,150,2,20
6th floor flat lake facing,Diana,Barnet,51.57455,-0.24125,Entire home/apt,40,1,0
Bright + Spacious flat near park,Suyin,Waltham Forest,51.59079,-0.02332,Entire home/apt,60,10,3
Room in Dalston Bible Factory,Ben & Daz,Hackney,51.55244,-0.07221,Private room,45,2,185
A comfortable and cosy flat,Val,Redbridge,51.56122,0.07611,Entire home/apt,54,2,0
"Private quiet room in Queen's Park, W9",Michael,Westminster,51.53011,-0.20282,Private room,33,2,25
Trendy Hackney Zone 2 - 1' to tube,Patricia,Hackney,51.54791,-0.04333,Entire home/apt,75,90,7
Comfort Double room 15 minutes from Central London,Anthony,Lambeth,51.44718,-0.10209,Private room,30,7,3
Central and clean double bedroom,Vera,Westminster,51.53101,-0.19216,Private room,25,120,4
Charming 2BR in Incredible Location,Ryan,Camden,51.51811,-0.12526,Entire home/apt,139,4,6
Double bedroom in Central London,Daniele,Southwark,51.50022,-0.04538,Private room,39,1,2
"Modern 1 Bedroom Flat w/ Terrace in Zone 1, London",Aslom,Southwark,51.49122,-0.0994,Entire home/apt,80,2,19
"Central, clean, double bed",Vera,Westminster,51.52754,-0.19671,Private room,35,30,3
Large Sunny Flat on the Fields by Lido & Brdwy Mkt,Lol,Hackney,51.5398,-0.06236,Entire home/apt,100,1,47
Earls Court/Chelsea Ensuite double,Chantal,Kensington and Chelsea,51.48784,-0.19478,Private room,60,90,22
Great place for short term,Annabel,Islington,51.54282,-0.11727,Private room,40,3,0
A large room in Crystal palace,Grace,Bromley,51.41675,-0.06912,Private room,40,1,0
sunny apartmen,Alvaro,Lambeth,51.44451,-0.10467,Private room,26,1,2
2 Large double rooms _ Lovely house,Marc,Newham,51.52655,0.03008,Entire home/apt,300,5,12
"1BD in bustling Brixton, SW London",Rachel,Lambeth,51.44916,-0.12425,Entire home/apt,90,4,68
Stylish Hyde Park Loft,Julian,Westminster,51.51285,-0.18552,Entire home/apt,147,2,49
Duplex Penthouse panoramic views,Faroch,Hillingdon,51.57243,-0.42394,Entire home/apt,250,5,2
Light and airy overlooking canal,Bex,Hackney,51.56937,-0.05513,Entire home/apt,55,4,13
Art Deco features in a bright homely flat.,Eilis,Haringey,51.59658,-0.14528,Entire home/apt,110,2,2
"Amazing, cosy home, 2 bed characteristic, Chelsea!",Robert,Wandsworth,51.462715,-0.183757,Entire home/apt,75,3,19
Large Double Room in Family House,Karen,Wandsworth,51.44495,-0.20757,Private room,75,2,0
Private double room in South London,Shamil,Lewisham,51.45789,-0.01695,Private room,31,20,13
Betterton 2 Bed,Toby,Camden,51.51414,-0.12471,Entire home/apt,190,3,38
Clean modern Covent Garden 1 bed,Toby,Camden,51.51587,-0.12215,Entire home/apt,105,90,9
"Double room in big, bright home: Acton W3",Kate,Ealing,51.51373,-0.27252,Private room,60,1,6
"A little gem in the heart of London, Holborn",Luisa,Camden,51.51883,-0.11793,Entire home/apt,131,7,37
Modern flat in Chelsea,Pierre,Kensington and Chelsea,51.48002,-0.18047,Entire home/apt,150,14,36
Spacious peaceful room with large desk,Jane,Hackney,51.55148,-0.04483,Private room,60,60,15
"1 bed in 3-bed dorm, central London",Phiroza,Westminster,51.51193,-0.11747,Shared room,28,1,74
Bright Stylish Duplex with terrace!,Maria & Jean-Mael,Wandsworth,51.43764,-0.18617,Entire home/apt,129,4,1
"Warm, welcoming garden flat, sleeps up to 5.",Brenda,Barnet,51.61241,-0.17316,Entire home/apt,100,2,16
Dble Bedroom in Paddington,Hugues,Westminster,51.5141,-0.18005,Private room,39,1,0
Chic Apartment Retreat Close to Richmond Park,James,Richmond upon Thames,51.45577,-0.29841,Entire home/apt,350,3,25
"3-bed period house, Wandsworth SW18",Sophie,Wandsworth,51.46139,-0.18666,Entire home/apt,140,3,11
A double room with view,Mia,Southwark,51.50359,-0.10548,Private room,85,4,40
"Arty double room in quiet,safe area of N21",Dale,Enfield,51.6364,-0.08658,Private room,28,2,63
Stunning 2 Bedroom House in Chiswick,Sissel,Hounslow,51.4923,-0.25701,Entire home/apt,128,2,1
"Spacious ensuite bedroom, East LDN.",Violetta,Hackney,51.53543,-0.07959,Private room,100,3,0
Unique maisonette near Harrods,Nadine,Kensington and Chelsea,51.49811,-0.1688,Entire home/apt,450,5,35
May 6-26 Short Term Large Dble-room,Mauricio,Lambeth,51.47286,-0.11736,Private room,55,14,0
Barford House,Avril,Kingston upon Thames,51.3832,-0.29765,Private room,90,1,0
Take Tea in Renovated 1858 Victorian Apple Factory,J@Mes,Ealing,51.50365,-0.32097,Private room,62,2,163
modern flat close to the tube,Borja,Lambeth,51.47715,-0.13101,Entire home/apt,200,4,0
Victorian House in Wandsworth,Matt,Wandsworth,51.45589,-0.19962,Entire home/apt,195,1,0
"DALSTON junction, private, single",Yakup,Hackney,51.5456,-0.08079,Private room,200,5,0
Near Central London Zone 2,Liz,Lewisham,51.47021,-0.04673,Private room,56,2,2
Super Family Home With Garden in North London,Lucy,Enfield,51.61107,-0.1154,Entire home/apt,140,5,10
"Warwick avenue -1 bed, 2 bath",Sunil,Westminster,51.52553,-0.18851,Entire home/apt,115,75,7
Central London - One Bedroom Flat,Auem,Tower Hamlets,51.519,-0.07569,Entire home/apt,80,2,48
Spectacular flat: London Marylebone,Christopher,Westminster,51.51961,-0.16298,Entire home/apt,185,2,128
Charming room in Islington,Joanne,Islington,51.5459,-0.09883,Private room,38,2,7
Bright Large Double Room,Mike,Hackney,51.56093,-0.05994,Private room,25,2,5
Beautiful Shaftsbury house,Lara M,Wandsworth,51.47047,-0.15573,Private room,40,1,3
Great double room in Brixton,Sebastian,Lambeth,51.46023,-0.10733,Private room,33,1,0
"Modern, bright, homely 2 bedroom flat in Zone 2",Claire And Gal,Brent,51.54063,-0.22246,Entire home/apt,75,2,12
Elegant DBL Room in Kensal Green,Shasca,Brent,51.53158,-0.22235,Private room,69,2,248
Delightful 1960's Span house,Jo,Greenwich,51.46537,0.02038,Entire home/apt,195,3,0
Double room to rent in quiet house,Annie,Wandsworth,51.44505,-0.18605,Private room,45,1,0
Double room  Central and quiet,Eoin And Pietro,Lambeth,51.48529,-0.10796,Private room,85,2,39
Big Single Room in East Acton,Stefania,Hammersmith and Fulham,51.51459,-0.24791,Private room,35,1,0
Cute double bedroom in Shoreditch,Clarisse,Tower Hamlets,51.53087,-0.06137,Private room,55,1,0
Bright and Spacious Loft Studio,Borko,Ealing,51.52379,-0.32663,Private room,140,2,0
Lovely Room in Angel,Adam,Islington,51.53839,-0.10688,Private room,45,1,0
1 bedroom in shared flat- heart of South Ken,William,Kensington and Chelsea,51.49522,-0.17367,Entire home/apt,60,7,3
Large Modern 1 Bed Apartment by King George's Park,Kate,Wandsworth,51.45428,-0.19438,Entire home/apt,75,2,11
"4 bed house, 15 mins to tennis.",Emily,Wandsworth,51.44322,-0.19947,Entire home/apt,650,3,0
Fantastic 3 bedroom Victorian house,Lisa,Hackney,51.55111,-0.04103,Entire home/apt,109,3,16
Private double room in Brixton flat,Nina,Lambeth,51.45706,-0.11607,Private room,50,1,7
Classic London family house with big garden,Arabella,Hammersmith and Fulham,51.50663,-0.23758,Entire home/apt,225,3,26
Beautiful brand new 2bed/ 2bath (1 room available),Rosy,Wandsworth,51.46325,-0.18349,Private room,80,1,8
Terraced House in heart of Stokey,Finn,Hackney,51.56045,-0.0787,Entire home/apt,135,3,2
Kingston Double ~ Private Bathroom ~ Free Parking,Charlie And Lee,Kingston upon Thames,51.41742,-0.28214,Private room,54,2,102
Chic 2-bed in heart of Kensington with terrace,VanZyl,Kensington and Chelsea,51.50323,-0.19236,Entire home/apt,181,3,2
Lovely Room in a Great Flat!,Jaz,Islington,51.54901,-0.09219,Private room,29,1,1
Beautiful Sun Shiny Flat in Camden,Jac,Camden,51.54778,-0.13135,Private room,37,12,44
Cute One Bed Flat In East London,Claire,Tower Hamlets,51.53328,-0.05421,Entire home/apt,51,14,0
Scandinavian style loft apartment,Sophie,Wandsworth,51.47769,-0.1717,Entire home/apt,120,1,0
"Quiet 2 Bd Flat, South Wimbledon London",Natalie,Merton,51.40892,-0.18091,Entire home/apt,150,2,15
1 room available in shared house,Jon,Islington,51.5563,-0.09409,Private room,42,10,0
Cosy Room near Brick Lane,Maud,Tower Hamlets,51.51733,-0.06763,Private room,40,1,10
room,Vittorio,Tower Hamlets,51.51785,-0.04589,Private room,25,1,3
Nice Private Full Maisonette - N. London/E. Barnet,Tom,Barnet,51.64451,-0.17042,Entire home/apt,46,2,86
Twin Room 7mins to London Bridge,Leah,Southwark,51.47362,-0.05455,Private room,56,2,171
Homely flat in Fulham,Bridget,Hammersmith and Fulham,51.47902,-0.20893,Entire home/apt,135,1,8
"Private Double room, Stylish Central Apt - Zone 1!",John,Lambeth,51.4762,-0.12801,Private room,50,1,76
"No sharing Private Apartment, Archves  Kew Gardens",Suzan,Richmond upon Thames,51.47654,-0.28173,Entire home/apt,70,5,34
Top floor Private double Bedroom with Ensuite.,Julia,Hammersmith and Fulham,51.47148,-0.18561,Private room,57,7,43
TRENDY ART FLAT - best Shoreditch location,Andrew,Hackney,51.52366,-0.07736,Entire home/apt,169,3,46
Full lovely flat in Central London,Curro,Southwark,51.49625,-0.09499,Entire home/apt,90,2,3
Private room in Notting Hill  Gate,Ranj,Kensington and Chelsea,51.51216,-0.21456,Private room,24,2,15
Unique Loft in 180yr old Historic Building,Michael,Hackney,51.56228,-0.07842,Entire home/apt,200,2,19
Modern 1Bed in Kings X - Zone 1,Naomi,Islington,51.53606,-0.11791,Entire home/apt,120,2,51
"Beautiful, large 2 bed garden home",Laura,Merton,51.42212,-0.18708,Entire home/apt,69,3,15
Beautiful Room in Friendly Home,Suzie,Southwark,51.45862,-0.09209,Private room,50,2,9
"Sunny home-share with garden, East",Will,Hackney,51.55184,-0.03921,Private room,34,1,0
Sunny Double room in Parsons Green with breakfast!,Kirsten,Hammersmith and Fulham,51.47477,-0.2077,Private room,60,1,78
Trendy Warehouse style apartment,Patrick,Hackney,51.57419,-0.08757,Private room,46,1,1
Large Apartment in Stratford with Wi-Fi ★★★★★,Pash,Newham,51.54858,-0.00647,Entire home/apt,190,4,27
Attractive Victorian terraced house,Jim,Wandsworth,51.44996,-0.1854,Private room,75,1,3
Large Double Bedroom Kings Cross :),Pauline,Camden,51.52896,-0.12024,Private room,49,5,7
Big room in great house near tube,Petter,Haringey,51.58414,-0.07959,Private room,100,7,0
Notting Hill - Summer Let,Adrianne,Kensington and Chelsea,51.51662,-0.20134,Private room,45,3,1
"A trendy, light, stylish flat",Greg,Waltham Forest,51.58128,-0.01114,Entire home/apt,75,7,3
Garden Flat in Fulham Earls Court,Fred,Hammersmith and Fulham,51.48404,-0.19729,Entire home/apt,135,2,38
Huge room in Brixton,Lola,Lambeth,51.46366,-0.10781,Private room,45,3,7
Affordable Double room in East Lond,AnTonello,Hackney,51.55736,-0.03994,Private room,50,5,0
Sunlit Loft Room in Victorian Home by Richmond Park,Alison,Kingston upon Thames,51.41833,-0.28687,Private room,55,2,180
Fantastic Central 2BD - Earls Court,Guillaume,Kensington and Chelsea,51.49258,-0.19196,Entire home/apt,89,2,71
stunning views of canary wharf.,Paul M,Tower Hamlets,51.5123,-0.02108,Entire home/apt,75,1,0
Cosy room in Rusell Square!,Rafael,Camden,51.52404,-0.12653,Private room,63,1,0
Bright & airy duplex on Thames Path,Marcus,Tower Hamlets,51.51038,-0.04281,Entire home/apt,158,2,122
Own room in large Clapham House,Christine,Lambeth,51.46716,-0.13957,Private room,60,1,12
Marvellous London Home,Miguel,Brent,51.53662,-0.23774,Private room,50,90,0
West London single cozy room,Florence,Camden,51.52666,-0.14213,Private room,31,3,6
Cosy low-cost single room,Eli,Southwark,51.4643,-0.08828,Private room,34,3,100
Lovely studio next to Regents park,Stephane,Camden,51.53927,-0.149,Entire home/apt,90,1,1
Charming one-bedroom apartment in South Kensington,M2 Property,Kensington and Chelsea,51.49068,-0.17844,Entire home/apt,105,7,5
Nice Private Room With easy access to London.,Beron,Brent,51.53813,-0.21965,Private room,38,2,51
Beautiful flat in central Wimbledon,Solene,Merton,51.41882,-0.20318,Entire home/apt,95,6,53
Modern 2 Bed 2 Bath Apartment near C. London,Salma,Tower Hamlets,51.52481,-0.02684,Entire home/apt,100,3,6
City View Terrace & Own Entrance near TowerBridge,Vania,Tower Hamlets,51.50836,-0.07487,Entire home/apt,70,90,5
Stylish Modernist Home,Renee,Camden,51.56602,-0.1433,Entire home/apt,200,3,0
Beautiful 3BD family home in Kensington,Rory,Kensington and Chelsea,51.49076,-0.19959,Entire home/apt,260,5,31
"East End Flat, Broadway Market",Michael,Tower Hamlets,51.53521,-0.0621,Entire home/apt,115,1,1
Stunning Flat in Leafy Hampstead,James,Camden,51.55204,-0.17701,Entire home/apt,500,1,2
1 bed flat near London City Airport,Elizabeth,Newham,51.51318,0.01283,Entire home/apt,95,7,0
Great 1 Bed Flat near Kings Cross,Fiona,Islington,51.53734,-0.11702,Entire home/apt,120,3,6
Lovely double room in Maida Hill,Michal,Brent,51.52942,-0.19652,Private room,25,6,1
Comfortable Central London Stay,Mats,Lambeth,51.49605,-0.1147,Private room,30,3,4
Big and bright double room,Simonluca,Hackney,51.55671,-0.0411,Private room,20,13,2
"Lovely 2 Bed flat, South Hampstead",Ruth,Camden,51.54793,-0.18259,Entire home/apt,140,3,45
"Brand new, optic Wifi,  25 mins to London",Henry,Lambeth,51.41602,-0.14116,Entire home/apt,80,18,3
Borough: Mod Studio Flat (2 person),Anne,Southwark,51.50209,-0.0904,Entire home/apt,75,3,65
Cozy 1 bed garden flat,Antaeus,Haringey,51.58677,-0.0918,Entire home/apt,48,3,11
Superb Country BnB/15 min to London,Joyce,Croydon,51.37123,-0.06835,Private room,75,2,13
Double  bedoom in Warm Charasmatic Home,Ali,Lambeth,51.42691,-0.09481,Private room,40,7,4
Cosy 1 bedroom top floor apartment,Natasha,Richmond upon Thames,51.46686,-0.26586,Entire home/apt,80,1,6
"Stunning interior-designed home, plus housekeeper!",Lara,Wandsworth,51.43467,-0.15118,Entire home/apt,600,2,8
Beautiful Camberwell Apartment,Jess,Southwark,51.4741,-0.08434,Entire home/apt,47,3,2
2 Bedrooms Kew apartment (long term),Feraso,Richmond upon Thames,51.4783,-0.28984,Entire home/apt,100,163,19
"Big, Bright 3 Bed with Quiet Garden",Alistair,Hackney,51.55324,-0.06569,Entire home/apt,139,3,13
Spacious Warehouse Conversion,Kaltrina,Hackney,51.54568,-0.02767,Private room,49,1,0
Charming House & Garden - Zone 1,Natalie,Lambeth,51.49387,-0.10764,Entire home/apt,200,3,3
Stylish studio in Crouch End,Josh,Haringey,51.57441,-0.12976,Entire home/apt,67,14,4
Luxury Apartment Nr Ealing Studios,Jonathan,Ealing,51.50936,-0.30063,Private room,40,1,1
Quiet and cosy room with its own kitchen,Emma,Hackney,51.55863,-0.0788,Private room,30,2,6
Renovated flat on the river,Vicky,Haringey,51.58308,-0.05745,Entire home/apt,70,3,4
*LONGSTAY GREAT 2 BED APART CENTRAL LONDON 121-NR,Javier,Tower Hamlets,51.51679,-0.0628,Entire home/apt,99,20,131
Bright Room in Modern Apartment Dulwich/Herne Hill,Thomas,Lambeth,51.4566,-0.09743,Private room,45,2,68
Family-friendly Mews garden cottage NW5/Tufnell Pk,Tash,Camden,51.55522,-0.14184,Private room,173,3,20
A unique cozy flat on Bricklane,Soroush,Tower Hamlets,51.52619,-0.07284,Private room,56,3,3
"""Perfect accommodation"" - King bedroom & en suite",John,Greenwich,51.46399,0.02761,Private room,51,2,72
"Designer, Comfy & Courtyard - 2 Bed - Peckham Rye",Soo,Southwark,51.46137,-0.06824,Entire home/apt,104,2,31
"Ensuite double room, Wimbledon Centre",Sy,Merton,51.4241,-0.2047,Private room,54,1,19
Double Room ensuite bath - Zone 2,Sibylle,Hackney,51.53766,-0.07914,Private room,50,2,0
Beautiful Spacious One Bed,Denis,Tower Hamlets,51.52982,-0.06819,Entire home/apt,85,6,2
"Airy, bright bedroom fits 4 people",Miss Cay,Croydon,51.39344,-0.09867,Private room,61,1,0
Luxury Period House - Maida Vale,Kunal,Westminster,51.53217,-0.18173,Entire home/apt,300,1,0
"Beautiful 5 bedroom house in Crouch End, London N8",Harriet,Haringey,51.58378,-0.12905,Entire home/apt,175,3,3
Bright 2Bed Garden Flat - Barons Court - LONDON,Portico,Hammersmith and Fulham,51.48847,-0.21622,Entire home/apt,140,3,8
Spacious and Cosy Walthamstow Flat,Nirma,Waltham Forest,51.57368,-0.03128,Entire home/apt,51,7,0
Huge Bedsit,Martine,Richmond upon Thames,51.46626,-0.26425,Private room,75,7,0
Renovated family home.,Mary,Richmond upon Thames,51.42109,-0.35987,Private room,50,2,10
1x Large clean Double room,Stuart,Westminster,51.53107,-0.18606,Private room,95,1,3
2 bedroom flat in with large garden,Aoife,Hammersmith and Fulham,51.47664,-0.2152,Entire home/apt,250,1,0
Spacious double room in Putney,Cat,Wandsworth,51.45468,-0.23083,Private room,80,1,1
"Spacious, Comfortable Double Room near O2 & ExCel",Ola,Greenwich,51.48712,0.07824,Private room,122,1,12
Spacious East London flat,Henry,Hackney,51.54041,-0.05264,Entire home/apt,99,2,1
"Modern, Luxury, Spacious Apartment near Olympic Park",Mark,Newham,51.54561,-0.00369,Entire home/apt,149,4,79
A Spacious Room in Central London,Ying,Kensington and Chelsea,51.49441,-0.2,Private room,43,21,0
Two Bed Georgian Flat in Finsbury Park/ Highbury,James,Hackney,51.56213,-0.09869,Entire home/apt,130,2,8
Spacious 2 bed First Floor Flat,Olly,Islington,51.57257,-0.11985,Entire home/apt,125,3,1
Charming Studio Apartment (grd flr),Nina,Ealing,51.50897,-0.24694,Private room,40,2,21
Close to Alexandra Palace&WoodGreen,Peter,Haringey,51.59549,-0.11409,Private room,40,1,0
Lovely QUIET room Shoreditch London,Gosi,Tower Hamlets,51.52645,-0.07567,Private room,49,2,16
Spacious & modern  one double bedroom flat,Alban,Newham,51.54938,0.00298,Entire home/apt,87,1,83
20 mins walk to All England Tennis,Beverley,Merton,51.42003,-0.21069,Private room,100,2,46
Superhost's Stunning London Flat,Emrah,Brent,51.55953,-0.23498,Private room,164,7,6
Lovely Wimbledon Village flat,Joan,Merton,51.42471,-0.22015,Entire home/apt,100,3,58
Cozy Apartment in London Fields,Jordi,Hackney,51.53809,-0.05443,Private room,35,1,0
2-4 people - heart of East London,Alexnder,Hackney,51.55261,-0.07218,Entire home/apt,90,1,3
Bright double 7min to London Bridge,Leah,Southwark,51.47408,-0.05432,Private room,49,2,150
Lovely period family home,Juliet,Ealing,51.49836,-0.32045,Entire home/apt,170,1,9
Amazing Doble room in Liverpool St,Elima,Tower Hamlets,51.51534,-0.07241,Private room,55,3,4
LOVELY DBL IN A LEAFY NEIGHBOURHOOD FOR GIRLS ONLY,Jane,Wandsworth,51.45007,-0.1869,Private room,28,5,2
2 Double Bed Flat- Great Location,James,Hammersmith and Fulham,51.50086,-0.21797,Entire home/apt,180,2,0
Victorian conversion with garden,Bianca,Hammersmith and Fulham,51.477,-0.21171,Private room,55,2,0
"Studio Apartment in Oval, London",Alvino,Lambeth,51.47443,-0.10083,Entire home/apt,70,1,0
New 2 Bedroom large Modern Apt [ZONE 1/Tower Hill],Nadeer,Tower Hamlets,51.50842,-0.07011,Entire home/apt,225,3,14
